temperature,humidity,number of people,result
-22,20,55.39,комфортная холодная
-22,25,52.05,ощутимо холодная
-22,30,54.04,ощутимо холодная
-22,35,54.81,ощутимо холодная
-22,40,54.81,ощутимо холодная
-22,45,54.81,ощутимо холодная
-22,50,54.81,ощутимо холодная
-22,55,53.88,ощутимо холодная
-22,60,52.94,ощутимо холодная
-22,65,51.97,ощутимо холодная
-22,70,56.9,морозная
-22,75,61.57,морозная
-22,80,64.36,морозная
-22,85,64.36,морозная
-22,90,64.36,морозная
-22,95,64.36,морозная
-22,100,64.36,морозная
-21,0,60.16,комфортная холодная
-21,5,60.16,комфортная холодная
-21,10,60.16,комфортная холодная
-21,15,60.16,комфортная холодная
-21,20,55.39,комфортная холодная
-21,25,52.05,ощутимо холодная
-21,30,54.04,ощутимо холодная
-21,35,54.81,ощутимо холодная
-21,40,54.81,ощутимо холодная
-21,45,54.81,ощутимо холодная
-21,50,54.81,ощутимо холодная
-21,55,53.88,ощутимо холодная
-21,60,52.94,ощутимо холодная
-21,65,51.97,ощутимо холодная
-21,70,56.9,морозная
-21,75,61.57,морозная
-21,80,64.36,морозная
-21,85,64.36,морозная
-21,90,64.36,морозная
-21,95,64.36,морозная
-21,100,64.36,морозная
-20,0,60.16,комфортная холодная
-20,5,60.16,комфортная холодная
-20,10,60.16,комфортная холодная
-20,15,60.16,комфортная холодная
-20,20,55.39,комфортная холодная
-20,25,52.05,ощутимо холодная
-20,30,54.04,ощутимо холодная
-20,35,54.81,ощутимо холодная
-20,40,54.81,ощутимо холодная
-20,45,54.81,ощутимо холодная
-20,50,54.81,ощутимо холодная
-20,55,53.88,ощутимо холодная
-20,60,52.94,ощутимо холодная
-20,65,51.97,ощутимо холодная
-20,70,56.9,морозная
-20,75,61.57,морозная
-20,80,64.36,морозная
-20,85,64.36,морозная
-20,90,64.36,морозная
-20,95,64.36,морозная
-20,100,64.36,морозная
-19,0,60.16,комфортная холодная
-19,5,60.16,комфортная холодная
-19,10,60.16,комфортная холодная
-19,15,60.16,комфортная холодная
-19,20,55.39,комфортная холодная
-19,25,52.05,ощутимо холодная
-19,30,54.04,ощутимо холодная
-19,35,54.81,ощутимо холодная
-19,40,54.81,ощутимо холодная
-19,45,54.81,ощутимо холодная
-19,50,54.81,ощутимо холодная
-19,55,53.88,ощутимо холодная
-19,60,52.94,ощутимо холодная
-19,65,51.97,ощутимо холодная
-19,70,56.9,морозная
-19,75,61.57,морозная
-19,80,64.36,морозная
-19,85,64.36,морозная
-19,90,64.36,морозная
-19,95,64.36,морозная
-19,100,64.36,морозная
-18,0,60.16,комфортная холодная
-18,5,60.16,комфортная холодная
-18,10,60.16,комфортная холодная
-18,15,60.16,комфортная холодная
-18,20,55.39,комфортная холодная
-18,25,52.05,ощутимо холодная
-18,30,54.04,ощутимо холодная
-18,35,54.81,ощутимо холодная
-18,40,54.81,ощутимо холодная
-18,45,54.81,ощутимо холодная
-18,50,54.81,ощутимо холодная
-18,55,53.88,ощутимо холодная
-18,60,52.94,ощутимо холодная
-18,65,51.97,ощутимо холодная
-18,70,56.9,морозная
-18,75,61.57,морозная
-18,80,64.36,морозная
-18,85,64.36,морозная
-18,90,64.36,морозная
-18,95,64.36,морозная
-18,100,64.36,морозная
-17,0,60.16,комфортная холодная
-17,5,60.16,комфортная холодная
-17,10,60.16,комфортная холодная
-17,15,60.16,комфортная холодная
-17,20,55.39,комфортная холодная
-17,25,52.05,ощутимо холодная
-17,30,54.04,ощутимо холодная
-17,35,54.81,ощутимо холодная
-17,40,54.81,ощутимо холодная
-17,45,54.81,ощутимо холодная
-17,50,54.81,ощутимо холодная
-17,55,53.88,ощутимо холодная
-17,60,52.94,ощутимо холодная
-17,65,51.97,ощутимо холодная
-17,70,56.9,морозная
-17,75,61.57,морозная
-17,80,64.36,морозная
-17,85,64.36,морозная
-17,90,64.36,морозная
-17,95,64.36,морозная
-17,100,64.36,морозная
-16,0,60.16,комфортная холодная
