temperature,humidity,number of people,result
11,0,54.53,прохладно-теплая
11,5,54.53,прохладно-теплая
11,10,54.53,прохладно-теплая
11,15,54.53,прохладно-теплая
11,20,54.53,прохладно-теплая
11,25,53.65,комфортная
11,30,53.65,комфортная
11,35,53.65,комфортная
11,40,53.65,комфортная
11,45,53.65,комфортная
11,50,53.65,комфортная
11,55,53.65,комфортная
11,60,53.65,комфортная
11,65,52.79,комфортная
11,70,51.85,душная
11,75,51.85,душная
11,80,51.85,душная
11,85,51.85,душная
11,90,51.85,душная
11,95,51.85,душная
11,100,51.85,душная
12,0,55.95,прохладно-теплая
12,5,55.95,прохладно-теплая
12,10,55.95,прохладно-теплая
12,15,55.95,прохладно-теплая
12,20,55.95,прохладно-теплая
12,25,54.04,комфортная
12,30,54.81,комфортная
12,35,54.81,комфортная
12,40,54.81,комфортная
12,45,54.81,комфортная
12,50,54.81,комфортная
12,55,54.81,комфортная
12,60,54.81,комфортная
12,65,53.07,комфортная
12,70,52.46,душная
12,75,52.46,душная
12,80,52.46,душная
12,85,52.46,душная
12,90,52.46,душная
12,95,52.46,душная
12,100,52.46,душная
13,0,57.33,прохладно-теплая
13,5,57.33,прохладно-теплая
13,10,57.33,прохладно-теплая
13,15,57.33,прохладно-теплая
13,20,55.95,прохладно-теплая
13,25,54.04,комфортная
13,30,55.95,комфортная
13,35,55.95,комфортная
13,40,55.95,комфортная
13,45,55.95,комфортная
13,50,55.95,комфортная
13,55,55.95,комфортная
13,60,55.73,комфортная
13,65,53.07,комфортная
13,70,52.46,душная
13,75,53.06,душная
13,80,53.06,душная
13,85,53.06,душная
13,90,53.06,душная
13,95,53.06,душная
13,100,53.06,душная
14,0,58.65,прохладно-теплая
14,5,58.65,прохладно-теплая
14,10,58.65,прохладно-теплая
14,15,58.65,прохладно-теплая
14,20,55.95,прохладно-теплая
14,25,54.04,комфортная
14,30,57.06,комфортная
14,35,57.06,комфортная
14,40,57.06,комфортная
14,45,57.06,комфортная
14,50,57.06,комфортная
14,55,57.06,комфортная
14,60,55.73,комфортная
14,65,53.07,комфортная
14,70,52.46,душная
14,75,53.65,душная
14,80,53.65,душная
14,85,53.65,душная
14,90,53.65,душная
14,95,53.65,душная
14,100,53.65,душная
15,0,59.92,прохладно-теплая
15,5,59.92,прохладно-теплая
15,10,59.92,прохладно-теплая
15,15,59.92,прохладно-теплая
15,20,55.95,прохладно-теплая
15,25,54.04,комфортная
15,30,57.78,комфортная
15,35,58.13,комфортная
15,40,58.13,комфортная
15,45,58.13,комфортная
15,50,58.13,комфортная
15,55,57.49,комфортная
15,60,55.73,комфортная
15,65,53.07,комфортная
15,70,52.46,душная
15,75,53.65,душная
15,80,54.24,душная
15,85,54.24,душная
15,90,54.24,душная
15,95,54.24,душная
15,100,54.24,душная
16,0,61.11,прохладно-теплая
16,5,61.11,прохладно-теплая
16,10,61.11,прохладно-теплая
16,15,61.11,прохладно-теплая
16,20,55.95,прохладно-теплая
16,25,54.04,комфортная
16,30,57.78,комфортная
16,35,59.17,комфортная
16,40,59.17,комфортная
16,45,59.17,комфортная
16,50,59.17,комфортная
16,55,57.49,комфортная
16,60,55.73,комфортная
16,65,53.07,комфортная
16,70,52.46,душная
16,75,53.65,душная
16,80,54.81,душная
16,85,54.81,душная
16,90,54.81,душная
16,95,54.81,душная
16,100,54.81,душная
17,0,61.11,прохладно-теплая
17,5,61.11,прохладно-теплая
17,10,61.11,прохладно-теплая
17,15,61.11,прохладно-теплая
17,20,55.95,прохладно-теплая
17,25,54.04,комфортная
17,30,57.78,комфортная
17,35,59.17,комфортная
17,40,59.17,комфортная
17,45,59.17,комфортная
17,50,59.17,комфортная
17,55,57.49,комфортная
17,60,55.73,комфортная
17,65,53.07,комфортная
17,70,52.46,душная
17,75,53.65,душная
17,80,54.81,душная
17,85,54.81,душная
17,90,54.81,душная
17,95,54.81,душная
17,100,54.81,душная
18,0,61.11,прохладно-теплая
18,5,61.11,прохладно-теплая
18,10,61.11,прохладно-теплая
18,15,61.11,прохладно-теплая
18,20,55.95,прохладно-теплая
18,25,54.04,комфортная
18,30,57.78,комфортная
18,35,59.17,комфортная
18,40,59.17,комфортная
18,45,59.17,комфортная
18,50,59.17,комфортная
18,55,57.49,комфортная
18,60,55.73,комфортная
18,65,53.07,комфортная
18,70,52.46,душная
18,75,53.65,душная
18,80,54.81,душная
18,85,54.81,душная
18,90,54.81,душная
18,95,54.81,душная
18,100,54.81,душная
19,0,61.11,прохладно-теплая
19,5,61.11,прохладно-теплая
19,10,61.11,прохладно-теплая
19,15,61.11,прохладно-теплая
19,20,55.95,прохладно-теплая
19,25,54.04,комфортная
19,30,57.78,комфортная
19,35,59.17,комфортная
19,40,59.17,комфортная
19,45,59.17,комфортная
19,50,59.17,комфортная
19,55,57.49,комфортная
19,60,55.73,комфортная
19,65,53.07,комфортная
19,70,52.46,душная
19,75,53.65,душная
19,80,54.81,душная
19,85,54.81,душная
19,90,54.81,душная
19,95,54.81,душная
19,100,54.81,душная
20,0,61.11,прохладно-теплая
20,5,61.11,прохладно-теплая
20,10,61.11,прохладно-теплая
20,15,61.11,прохладно-теплая
20,20,55.95,прохладно-теплая
20,25,54.04,комфортная
20,30,57.78,комфортная
20,35,59.17,комфортная
20,40,59.17,комфортная
20,45,59.17,комфортная
20,50,59.17,комфортная
20,55,57.49,комфортная
20,60,55.73,комфортная
20,65,53.07,комфортная
20,70,52.46,душная
20,75,53.65,душная
20,80,54.81,душная
20,85,54.81,душная
20,90,54.81,душная
20,95,54.81,душная
20,100,54.81,душная
21,0,61.11,прохладно-теплая
21,5,61.11,прохладно-теплая
21,10,61.11,прохладно-теплая
21,15,61.11,прохладно-теплая
21,20,55.95,прохладно-теплая
21,25,54.04,комфортная
21,30,57.78,комфортная
21,35,59.17,комфортная
21,40,59.17,комфортная
21,45,59.17,комфортная
21,50,59.17,комфортная
21,55,57.49,комфортная
21,60,55.73,комфортная
21,65,53.07,комфортная
21,70,52.46,душная
21,75,53.65,душная
21,80,54.81,душная
21,85,54.81,душная
21,90,54.81,душная
21,95,54.81,душная
21,100,54.81,душная
22,0,61.11,прохладно-теплая
22,5,61.11,прохладно-теплая
22,10,61.11,прохладно-теплая
22,15,61.11,прохладно-теплая
22,20,55.95,прохладно-теплая
22,25,54.04,комфортная
22,30,57.78,комфортная
22,35,59.17,комфортная
22,40,59.17,комфортная
22,45,59.17,комфортная
22,50,59.17,комфортная
22,55,57.49,комфортная
22,60,55.73,комфортная
22,65,53.07,комфортная
22,70,52.46,душная
22,75,53.65,душная
22,80,54.81,душная
22,85,54.81,душная
22,90,54.81,душная
22,95,54.81,душная
22,100,54.81,душная
23,0,61.11,прохладно-теплая
23,5,61.11,прохладно-теплая
23,10,61.11,прохладно-теплая
23,15,61.11,прохладно-теплая
23,20,55.95,прохладно-теплая
23,25,54.04,комфортная
23,30,57.78,комфортная
23,35,59.17,комфортная
23,40,59.17,комфортная
23,45,59.17,комфортная
23,50,59.17,комфортная
23,55,57.49,комфортная
23,60,55.73,комфортная
23,65,53.07,комфортная
23,70,52.46,душная
23,75,53.65,душная
23,80,54.81,душная
23,85,54.81,душная
23,90,54.81,душная
23,95,54.81,душная
23,100,54.81,душная
24,0,61.11,прохладно-теплая
24,5,61.11,прохладно-теплая
24,10,61.11,прохладно-теплая
24,15,61.11,прохладно-теплая
24,20,55.95,прохладно-теплая
24,25,54.04,комфортная
24,30,57.78,комфортная
24,35,59.17,комфортная
24,40,59.17,комфортная
24,45,59.17,комфортная
24,50,59.17,комфортная
24,55,57.49,комфортная
24,60,55.73,комфортная
24,65,53.07,комфортная
24,70,52.46,душная
24,75,53.65,душная
24,80,54.81,душная
24,85,54.81,душная
24,90,54.81,душная
24,95,54.81,душная
24,100,54.81,душная
25,0,61.11,прохладно-теплая
25,5,61.11,прохладно-теплая
25,10,61.11,прохладно-теплая
25,15,61.11,прохладно-теплая
25,20,55.95,прохладно-теплая
25,25,54.04,комфортная
25,30,57.78,комфортная
25,35,59.17,комфортная
25,40,59.17,комфортная
25,45,59.17,комфортная
25,50,59.17,комфортная
25,55,57.49,комфортная
25,60,55.73,комфортная
25,65,53.07,комфортная
25,70,52.46,душная
25,75,53.65,душная
25,80,54.81,душная
25,85,54.81,душная
25,90,54.81,душная
25,95,54.81,душная
25,100,54.81,душная
26,0,61.11,прохладно-теплая
26,5,61.11,прохладно-теплая
26,10,61.11,прохладно-теплая
26,15,61.11,прохладно-теплая
26,20,55.95,прохладно-теплая
26,25,54.04,комфортная
26,30,57.78,комфортная
26,35,59.17,комфортная
26,40,59.17,комфортная
26,45,59.17,комфортная
26,50,59.17,комфортная
26,55,57.49,комфортная
26,60,55.73,комфортная
26,65,53.07,комфортная
26,70,52.46,душная
26,75,53.65,душная
26,80,54.81,душная
26,85,54.81,душная
26,90,54.81,душная
26,95,54.81,душная
26,100,54.81,душная
27,0,61.11,прохладно-теплая
27,5,61.11,прохладно-теплая
27,10,61.11,прохладно-теплая
27,15,61.11,прохладно-теплая
27,20,55.95,прохладно-теплая
27,25,54.04,комфортная
27,30,57.78,комфортная
27,35,59.17,комфортная
27,40,59.17,комфортная
27,45,59.17,комфортная
27,50,59.17,комфортная
27,55,57.49,комфортная
27,60,55.73,комфортная
27,65,53.07,комфортная
27,70,52.46,душная
27,75,53.65,душная
27,80,54.81,душная
27,85,54.81,душная
27,90,54.81,душная
27,95,54.81,душная
27,100,54.81,душная
28,0,61.11,прохладно-теплая
28,5,61.11,прохладно-теплая
28,10,61.11,прохладно-теплая
28,15,61.11,прохладно-теплая
28,20,55.95,прохладно-теплая
28,25,54.04,комфортная
28,30,57.78,комфортная
28,35,59.17,комфортная
28,40,59.17,комфортная
28,45,59.17,комфортная
28,50,59.17,комфортная
28,55,57.49,комфортная
28,60,55.73,комфортная
28,65,53.07,комфортная
28,70,52.46,душная
28,75,53.65,душная
28,80,54.81,душная
28,85,54.81,душная
28,90,54.81,душная
28,95,54.81,душная
28,100,54.81,душная
29,0,61.11,прохладно-теплая
29,5,61.11,прохладно-теплая
29,10,61.11,прохладно-теплая
29,15,61.11,прохладно-теплая
29,20,55.95,прохладно-теплая
29,25,54.04,комфортная
29,30,57.78,комфортная
29,35,59.17,комфортная
29,40,59.17,комфортная
29,45,59.17,комфортная
29,50,59.17,комфортная
29,55,57.49,комфортная
29,60,55.73,комфортная
29,65,53.07,комфортная
29,70,52.46,душная
29,75,53.65,душная
29,80,54.81,душная
29,85,54.81,душная
29,90,54.81,душная
29,95,54.81,душная
29,100,54.81,душная
